Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.09      0.07     0.07    20259     0.00     0.01  GameState::update()
  4.55      0.10     0.04  2429649     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  3.90      0.14     0.03   294489     0.00     0.00  Level::isEmpty(int, int)
  3.90      0.17     0.03    26822     0.00     0.00  bestChild(Node*)
  2.60      0.18     0.02    15924     0.00     0.00  Bomb* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb*>(__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, __gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb*)
  2.60      0.20     0.02     4000     0.01     0.08  defaultPolicy(GameState, int)
  2.60      0.23     0.02                             _init
  1.30      0.23     0.01  1200640     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  1.30      0.24     0.01   864268     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  1.30      0.26     0.01   792187     0.00     0.00  Action&& std::forward<Action>(std::remove_reference<Action>::type&)
  1.30      0.27     0.01   445848     0.00     0.00  Player::getY() const
  1.30      0.28     0.01   366386     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_max_size(std::allocator<Action> const&)
  1.30      0.28     0.01   277448     0.00     0.00  canMoveInDirection(GameState&, int, int, int)
  1.30      0.29     0.01   272082     0.00     0.00  bool __gnu_cxx::operator!=<Player*, std::vector<Player, std::allocator<Player> > >(__gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > > const&, __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > > const&)
  1.30      0.30     0.01   250902     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
