Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.46      4.66     0.04   487509     0.00     0.00  std::vector<Action, std::allocator<Action> >::reserve(unsigned long)
  0.46      4.70     0.04   334711     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_M_get_Tp_allocator()
  0.46      4.74     0.04   108136     0.00     0.00  Bomb::Bomb(Bomb const&)
  0.46      4.78     0.04   107326     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::_S_max_size(std::allocator<Bomb> const&)
  0.46      4.82     0.04    74040     0.00     0.00  Bomb::Bomb(int, int, int, int, std::optional<int>)
  0.46      4.86     0.04    74040     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::push_back(Bomb&&)
  0.46      4.90     0.04    69575     0.00     0.00  std::_Vector_base<Player, std::allocator<Player> >::_Vector_impl::~_Vector_impl()
  0.46      4.94     0.04    69574     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~_Vector_base()
  0.46      4.98     0.04    35000     0.00     0.00  treePolicy(Node*)
  0.46      5.02     0.04    35000     0.00     0.00  defaultPolicy(GameState, int)
  0.46      5.06     0.04       35     0.00     0.23  MCTS::findBestAction()
  0.40      5.09     0.04   244635     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::end()
  0.34      5.12     0.03  1976078     0.00     0.00  std::vector<Action, std::allocator<Action> >::end()
  0.34      5.16     0.03  1910913     0.00     0.00  std::allocator<int>::~allocator()
  0.34      5.18     0.03  1512767     0.00     0.00  Bomb::getX() const
  0.34      5.21     0.03  1145595     0.00     0.00  int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.34      5.25     0.03  1145595     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
