Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  5.00      0.05     0.05    26978     0.00     0.00  bestChild(Node*)
  4.00      0.09     0.04   984196     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  4.00      0.13     0.04   243711     0.00     0.00  Level::isEmpty(int, int)
  3.00      0.16     0.03    14567     0.00     0.00  Player* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*>(__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, __gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*)
  2.50      0.18     0.03   101193     0.00     0.00  Bomb::getX() const
  2.00      0.20     0.02  3343085     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  2.00      0.23     0.02   371796     0.00     0.00  Player::getY() const
  2.00      0.24     0.02   164461     0.00     0.00  std::vector<Action, std::allocator<Action> >::back()
  2.00      0.27     0.02   145660     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  2.00      0.28     0.02   131103     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  2.00      0.30     0.02    57858     0.00     0.00  getPossibleActions(GameState&)
  2.00      0.33     0.02    27707     0.00     0.00  Player::play(Action, GameState&)
  2.00      0.34     0.02    14566     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::vector(std::vector<Bomb, std::allocator<Bomb> > const&)
  2.00      0.36     0.02    11380     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  2.00      0.39     0.02     3068     0.01     0.01  std::vector<Bomb, std::allocator<Bomb> >::_M_check_len(unsigned long, char const*) const
  2.00      0.41     0.02     1291     0.02     0.02  Level::draw(sf::RenderWindow&, int)
  2.00      0.42     0.02        5     4.00     4.00  log_tree(Node*, int)
  2.00      0.45     0.02        5     4.00   189.06  MCTS::findBestAction()
  1.50      0.46     0.01   302202     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_relocate(Action*, Action*, Action*, std::allocator<Action>&)
  1.00      0.47     0.01  1860363     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  1.00      0.48     0.01   536025     0.00     0.00  operator new(unsigned long, void*)
  1.00      0.49     0.01   344205     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  1.00      0.50     0.01   302202     0.00     0.00  __gnu_cxx::new_allocator<Action>::max_size() const
  1.00      0.51     0.01   262206     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  1.00      0.52     0.01   177052     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::operator*() const
  1.00      0.53     0.01   164461     0.00     0.00  std::vector<Action, std::allocator<Action> >::push_back(Action&&)
  1.00      0.54     0.01   151101     0.00     0.00  void std::vector<Action, std::allocator<Action> >::_M_realloc_insert<Action>(__gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >, Action&&)
  1.00      0.55     0.01   145661     0.00     0.00  bool __gnu_cxx::operator!=<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
  1.00      0.56     0.01   131148     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  1.00      0.57     0.01   131103     0.00     0.00  int* std::__copy_move_a1<false, int const*, int*>(int const*, int const*, int*)
  1.00      0.58     0.01   131103     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  1.00      0.59     0.01   131094     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  1.00      0.60     0.01   102417     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  1.00      0.61     0.01    59420     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  1.00      0.62     0.01    50303     0.00     0.00  fast_log::log(float) const
  1.00      0.63     0.01    49088     0.00     0.00  sf::Sprite::~Sprite()
  1.00      0.64     0.01    43011     0.00     0.00  sf::Sprite::Sprite(sf::Sprite const&)
  1.00      0.65     0.01    29134     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const* const&)
  1.00      0.66     0.01    29134     0.00     0.00  std::allocator<std::vector<int, std::allocator<int> > >::allocator(std::allocator<std::vector<int, std::allocator<int> > > const&)
  1.00      0.67     0.01    14853     0.00     0.00  void std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_realloc_insert<int&, int&>(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, int&, int&)
  1.00      0.68     0.01    14604     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::end()
  1.00      0.69     0.01    14581     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::_M_max_size() const
  1.00      0.70     0.01    14571     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl_data::_Vector_impl_data()
  1.00      0.71     0.01    14568     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::vector(std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > const&)
  1.00      0.72     0.01    14568     0.00     0.00  std::pair<int, int>* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, std::pair<int, int>*, std::pair<int, int> >(__gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, std::pair<int, int>*, std::allocator<std::pair<int, int> >&)
  1.00      0.73     0.01    14567     0.00     0.00  std::_Vector_base<Player, std::allocator<Player> >::_Vector_base(unsigned long, std::allocator<Player> const&)
  1.00      0.74     0.01    14566     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Bomb>, Bomb>::_S_select_on_copy(std::allocator<Bomb> const&)
  1.00      0.75     0.01    14566     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_base(unsigned long, std::allocator<std::vector<int, std::allocator<int> > > const&)
  1.00      0.76     0.01    14566     0.00     0.00  std::allocator_traits<std::allocator<Bomb> >::select_on_container_copy_construction(std::allocator<Bomb> const&)
  1.00      0.77     0.01    13878     0.00     0.00  Bomb::Bomb(Bomb const&)
  1.00      0.78     0.01    13878     0.00     0.00  Bomb const& std::forward<Bomb const&>(std::remove_reference<Bomb const&>::type&)
  1.00      0.79     0.01    11382     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Player*>(Player*, Player*)
  1.00      0.80     0.01    11380     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  1.00      0.81     0.01    11380     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::~vector()
  1.00      0.82     0.01    11380     0.00     0.00  std::vector<Player, std::allocator<Player> >::~vector()
  1.00      0.83     0.01    11379     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl::~_Vector_impl()
  1.00      0.84     0.01    11379     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~_Vector_base()
  1.00      0.85     0.01     8507     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  1.00      0.86     0.01     6136     0.00     0.00  __gnu_cxx::new_allocator<Bomb>::max_size() const
  1.00      0.87     0.01     5000     0.00     0.10  treePolicy(Node*)
  1.00      0.88     0.01     5000     0.00     0.05  defaultPolicy(GameState, int)
  1.00      0.89     0.01     4951     0.00     0.00  Player::addBomb()
  1.00      0.90     0.01     4050     0.00     0.00  Bomb::Bomb(Bomb&&)
  1.00      0.91     0.01     4050     0.00     0.00  void __gnu_cxx::new_allocator<Bomb>::construct<Bomb, Bomb>(Bomb*, Bomb&&)
  1.00      0.92     0.01     4050     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::back()
