Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  6.23      0.32     0.32   145460     0.00     0.00  GameState::update()
  3.70      0.51     0.19   158214     0.00     0.00  bestChild(Node*)
  3.60      0.69     0.18 32170266     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  2.72      0.83     0.14     8659     0.00     0.00  Level::draw(sf::RenderWindow&, int)
  2.33      0.95     0.12  1365848     0.00     0.00  Level::isEmpty(int, int)
  2.04      1.06     0.10 17314623     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  1.85      1.16     0.10  1232332     0.00     0.00  canMoveInDirection(GameState&, int, int, int)
  1.75      1.25     0.09   308083     0.00     0.00  getPossibleActions(GameState&)
  1.56      1.32     0.08   669591     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  1.56      1.41     0.08    41962     0.00     0.00  Bomb::explode(GameState&)
  1.56      1.49     0.08    25000     0.00     0.00  defaultPolicy(GameState, int)
  1.36      1.55     0.07  2029222     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::size() const
  1.17      1.61     0.06  2982235     0.00     0.00  operator new(unsigned long, void*)
  1.17      1.68     0.06   308083     0.00     0.00  std::vector<Action, std::allocator<Action> >::reserve(unsigned long)
  1.07      1.73     0.06   133439     0.00     0.00  Bomb::changeTexture()
  0.97      1.78     0.05 15525414     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.97      1.83     0.05  6357034     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  0.97      1.88     0.05  5789885     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  0.97      1.93     0.05   953882     0.00     0.00  std::vector<Action, std::allocator<Action> >::push_back(Action&&)
  0.97      1.98     0.05   278955     0.00     0.00  Player::play(Action, GameState&)
  0.97      2.03     0.05   255335     0.00     0.00  sf::Transformable::Transformable(sf::Transformable const&)
  0.97      2.08     0.05    74398     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*)
  0.97      2.13     0.05     8659     0.00     0.00  Game::render()
  0.78      2.17     0.04  1615608     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.78      2.21     0.04  1050678     0.00     0.00  std::vector<Action, std::allocator<Action> >::end()
  0.78      2.25     0.04   148797     0.00     0.00  Player::Player(Player const&)
  0.78      2.29     0.04   133516     0.00     0.00  Player::isLegalMove(int, int, GameState&)
