Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  5.97      0.35     0.35   134737     0.00     0.00  GameState::update()
  2.90      0.52     0.17 29113587     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  2.90      0.69     0.17   153892     0.00     0.00  bestChild(Node*)
  2.56      0.84     0.15  1742204     0.00     0.00  canMoveInDirection(GameState&, int, int, int)
  2.22      0.97     0.13 15913062     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  1.96      1.08     0.12  2963772     0.00     0.00  Player::getY() const
  1.88      1.20     0.11  1200997     0.00     0.00  void std::vector<Action, std::allocator<Action> >::_M_realloc_insert<Action>(__gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >, Action&&)
  1.62      1.29     0.10  5806198     0.00     0.00  Player::getX() const
  1.37      1.37     0.08  7920731     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  1.37      1.45     0.08  2393907     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::size() const
  1.37      1.53     0.08   857241     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  1.19      1.60     0.07  1864673     0.00     0.00  Level::isEmpty(int, int)
  1.19      1.67     0.07   435551     0.00     0.00  getPossibleActions(GameState&)
  1.19      1.74     0.07    24000     0.00     0.00  defaultPolicy(GameState, int)
  1.02      1.80     0.06  1370304     0.00     0.00  std::vector<Action, std::allocator<Action> >::push_back(Action&&)
  1.02      1.86     0.06   857250     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  1.02      1.92     0.06   444885     0.00     0.00  Player::getNumBombs() const
  1.02      1.98     0.06   268105     0.00     0.00  sf::Sprite::Sprite(sf::Sprite const&)
  0.94      2.04     0.06  2401994     0.00     0.00  std::vector<Action, std::allocator<Action> >::max_size() const
  0.85      2.08     0.05 14057955     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.85      2.13     0.05  5324727     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  0.85      2.19     0.05  2401994     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Action, void>::value, Action*>::type std::__relocate_a_1<Action, Action>(Action*, Action*, Action*, std::allocator<Action>&)
  0.85      2.23     0.05   306464     0.00     0.00  sf::Transformable::Transformable(sf::Transformable const&)
  0.85      2.29     0.05   190499     0.00     0.00  Player::Player(Player const&)
  0.85      2.33     0.05   122469     0.00     0.00  Player::isLegalMove(int, int, GameState&)
  0.85      2.38     0.05    38406     0.00     0.00  Bomb::explode(GameState&)
  0.68      2.42     0.04  3866637     0.00     0.00  operator new(unsigned long, void*)
  0.68      2.46     0.04  1975116     0.00     0.00  bool __gnu_cxx::operator!=<Player*, std::vector<Player, std::allocator<Player> > >(__gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > > const&, __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > > const&)
  0.68      2.50     0.04  1200997     0.00     0.00  std::vector<Action, std::allocator<Action> >::_M_check_len(unsigned long, char const*) const
  0.68      2.54     0.04   857250     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.68      2.58     0.04   857250     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.68      2.62     0.04   857250     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.68      2.67     0.04   857244     0.00     0.00  void std::_Construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.68      2.71     0.04   257982     0.00     0.00  Player::play(Action, GameState&)
  0.68      2.75     0.04    95249     0.00     0.00  GameState::GameState(GameState const&)
  0.68      2.79     0.04    38357     0.00     0.00  Bomb::Bomb(Bomb&&)
  0.68      2.83     0.04    38357     0.00     0.00  Bomb& std::vector<Bomb, std::allocator<Bomb> >::emplace_back<Bomb>(Bomb&&)
  0.68      2.87     0.04                             _init
  0.60      2.90     0.04  2742061     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.60      2.94     0.04  2401994     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_max_size(std::allocator<Action> const&)
  0.51      2.96     0.03  7205982     0.00     0.00  Action* std::__niter_base<Action*>(Action*)
  0.51      3.00     0.03  5326514     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::__normal_iterator(Action* const&)
  0.51      3.02     0.03  2401994     0.00     0.00  __gnu_cxx::new_allocator<Action>::max_size() const
