Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  5.86      0.58     0.58   235081     0.00     0.00  GameState::update()
  4.85      1.06     0.48   335184     0.00     0.00  bestChild(Node*)
  3.23      1.38     0.32 50448492     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  2.42      1.62     0.24  2002304     0.00     0.00  canMoveInDirection(GameState&, int, int, int)
  1.82      1.80     0.18 27257823     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  1.82      1.98     0.18    44000     0.00     0.00  backpropagate(Node*, int)
  1.62      2.14     0.16 24364656     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  1.57      2.29     0.15   449314     0.00     0.00  Player::play(Action, GameState&)
  1.41      2.44     0.14    67523     0.00     0.00  Bomb::explode(GameState&)
  1.31      2.56     0.13                             _init
  1.21      2.69     0.12  7380864     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  1.21      2.81     0.12  2211215     0.00     0.00  Level::isEmpty(int, int)
  1.21      2.92     0.12  1173807     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  1.11      3.04     0.11   500576     0.00     0.00  getPossibleActions(GameState&)
  1.11      3.15     0.11    44000     0.00     0.00  defaultPolicy(GameState, int)
  1.01      3.25     0.10   373690     0.00     0.00  sf::Sprite::Sprite(sf::Sprite const&)
  1.01      3.35     0.10    67685     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::push_back(Bomb&&)
  0.91      3.44     0.09   219467     0.00     0.00  Bomb::changeTexture()
  0.86      3.52     0.09   130422     0.00     0.00  GameState::GameState(GameState const&)
  0.81      3.60     0.08  1173798     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.81      3.68     0.08   441377     0.00     0.00  sf::Transformable::Transformable(sf::Transformable const&)
  0.71      3.75     0.07  3115398     0.00     0.00  Player::getY() const
  0.71      3.82     0.07    67685     0.00     0.00  Bomb::Bomb(int, int, int, int, std::optional<int>)
  0.71      3.89     0.07     6436     0.00     0.00  Level::draw(sf::RenderWindow&, int)
  0.71      3.96     0.07       22     0.00     0.43  MCTS::findBestAction()
  0.61      4.02     0.06   510270     0.00     0.00  Player::isAlive() const
  0.61      4.08     0.06   260845     0.00     0.00  Player::Player(Player const&)
  0.61      4.14     0.06   234735     0.00     0.00  std::pair<int, int>& std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::emplace_back<int&, int&>(int&, int&)
  0.61      4.20     0.06   130422     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Bomb>, Bomb>::_S_select_on_copy(std::allocator<Bomb> const&)
  0.61      4.26     0.06    67685     0.00     0.00  Bomb& std::vector<Bomb, std::allocator<Bomb> >::emplace_back<Bomb>(Bomb&&)
  0.61      4.32     0.06    44000     0.00     0.00  treePolicy(Node*)
  0.56      4.38     0.06  1304220     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  0.56      4.43     0.06  1173852     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.56      4.49     0.06   130422     0.00     0.00  Bomb* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb*>(__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, __gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb*)
  0.51      4.54     0.05  4842222     0.00     0.00  operator new(unsigned long, void*)
  0.51      4.58     0.05  3358938     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::__normal_iterator(Action* const&)
  0.51      4.63     0.05  2068770     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::size() const
  0.51      4.68     0.05  1514305     0.00     0.00  Action& std::vector<Action, std::allocator<Action> >::emplace_back<Action>(Action&&)
  0.51      4.74     0.05  1304221     0.00     0.00  bool __gnu_cxx::operator!=<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
  0.51      4.79     0.05  1184615     0.00     0.00  Bomb::getX() const
  0.51      4.83     0.05   829222     0.00     0.00  isTerminal(GameState const&, int)
  0.51      4.88     0.05   500576     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::_Vector_impl::_Vector_impl()
  0.51      4.93     0.05   380845     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_M_get_Tp_allocator()
  0.51      4.99     0.05   130422     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::vector(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&)
  0.51      5.04     0.05   112845     0.00     0.00  void std::_Construct<Bomb, Bomb const&>(Bomb*, Bomb const&)
  0.51      5.08     0.05    54402     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::_M_check_len(unsigned long, char const*) const
  0.51      5.13     0.05    33595     0.00     0.00  std::__cxx11::to_string(int)
  0.51      5.18     0.05       22     0.00     0.00  log_tree(Node*, int)
  0.45      5.23     0.04   217636     0.00     0.00  std::allocator<std::vector<int, std::allocator<int> > >::~allocator()
  0.40      5.27     0.04  4997315     0.00     0.00  Player::getX() const
  0.40      5.31     0.04  1733623     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::operator*() const
  0.40      5.35     0.04  1514305     0.00     0.00  std::vector<Action, std::allocator<Action> >::push_back(Action&&)
  0.40      5.39     0.04  1463770     0.00     0.00  __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > >::operator*() const
  0.40      5.43     0.04  1173807     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.40      5.47     0.04  1001152     0.00     0.00  std::vector<Action, std::allocator<Action> >::size() const
