Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  6.91      0.83     0.83   337524     0.00     0.00  GameState::update()
  3.99      1.31     0.48   330228     0.00     0.00  bestChild(Node*)
  3.49      1.73     0.42 76441045     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  3.00      2.09     0.36  2848740     0.00     0.00  canMoveInDirection(GameState&, int, int, int)
  2.75      2.42     0.33    28602     0.00     0.00  Level::draw(sf::RenderWindow&, int)
  2.58      2.73     0.31 41048937     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  1.62      2.92     0.20    58000     0.00     0.00  defaultPolicy(GameState, int)
  1.54      3.11     0.18  3171243     0.00     0.00  Level::isEmpty(int, int)
  1.33      3.27     0.16 36899437     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  1.33      3.43     0.16 15318371     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  1.33      3.59     0.16    58000     0.00     0.00  backpropagate(Node*, int)
  1.25      3.74     0.15   712185     0.00     0.00  getPossibleActions(GameState&)
  1.16      3.88     0.14   488389     0.00     0.00  sf::Sprite::Sprite(sf::Sprite const&)
  1.16      4.02     0.14    28602     0.00     0.00  Game::render()
  1.12      4.16     0.14   769389     0.00     0.00  Player::getNumBombs() const
  1.08      4.29     0.13   313674     0.00     0.00  Bomb::changeTexture()
  1.08      4.42     0.13    28602     0.00     0.00  HUD::draw(sf::RenderWindow&, Game&)
  1.04      4.54     0.12   648250     0.00     0.00  Player::play(Action, GameState&)
  1.00      4.66     0.12   102894     0.00     0.00  Bomb::explode(GameState&)
  0.96      4.78     0.12   712185     0.00     0.00  std::vector<Action, std::allocator<Action> >::reserve(unsigned long)
  0.83      4.88     0.10   167460     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::vector(std::vector<Bomb, std::allocator<Bomb> > const&)
  0.83      4.97     0.10    54729     0.00     0.00  expand(Node*)
  0.83      5.08     0.10                             _init
  0.75      5.17     0.09 11139828     0.00     0.00  Player::getX() const
  0.75      5.25     0.09  3159085     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::size() const
  0.75      5.34     0.09  1507149     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
