Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  5.15      0.37     0.37   206169     0.00     0.00  bestChild(Node*)
  4.18      0.67     0.30   201962     0.00     0.00  GameState::update()
  2.92      0.88     0.21 43287066     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  2.23      1.04     0.16  1898072     0.00     0.00  Level::isEmpty(int, int)
  1.95      1.18     0.14 23330403     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  1.95      1.32     0.14  1713020     0.00     0.00  canMoveInDirection(GameState&, int, int, int)
  1.95      1.46     0.14   428255     0.00     0.00  getPossibleActions(GameState&)
  1.60      1.57     0.12  2337074     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Action, void>::value, Action*>::type std::__relocate_a_1<Action, Action>(Action*, Action*, Action*, std::allocator<Action>&)
  1.53      1.69     0.11   184389     0.00     0.00  Bomb::changeTexture()
  1.39      1.78     0.10                             _init
  1.18      1.87     0.09  2337074     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_do_relocate(Action*, Action*, Action*, std::allocator<Action>&, std::integral_constant<bool, true>)
  1.11      1.95     0.08 20896290     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  1.11      2.03     0.08  1331288     0.00     0.00  Action& std::vector<Action, std::allocator<Action> >::emplace_back<Action>(Action&&)
  1.11      2.11     0.08    35000     0.00     0.00  backpropagate(Node*, int)
  1.04      2.19     0.07  5102403     0.00     0.00  std::vector<Action, std::allocator<Action> >::size() const
  0.97      2.25     0.07  2821402     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::size() const
  0.97      2.33     0.07  2337074     0.00     0.00  Action* std::__relocate_a<Action*, Action*, std::allocator<Action> >(Action*, Action*, Action*, std::allocator<Action>&)
  0.97      2.40     0.07  1168537     0.00     0.00  std::vector<Action, std::allocator<Action> >::_M_check_len(unsigned long, char const*) const
  0.97      2.46     0.07   300742     0.00     0.00  sf::Sprite::Sprite(sf::Sprite const&)
  0.97      2.54     0.07    35000     0.00     0.00  defaultPolicy(GameState, int)
  0.84      2.60     0.06  2337074     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_max_size(std::allocator<Action> const&)
  0.77      2.65     0.06  5272530     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::__normal_iterator(Action* const&)
  0.77      2.71     0.06  3395586     0.00     0.00  Player::getY() const
  0.77      2.76     0.06  1331288     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::operator-(long) const
  0.70      2.81     0.05  8940828     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  0.70      2.86     0.05  2636265     0.00     0.00  std::vector<Action, std::allocator<Action> >::end()
