Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  5.88      0.16     0.16 12078155     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  5.51      0.31     0.15    55793     0.00     0.00  GameState::update()
  3.31      0.40     0.09  6549075     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  2.57      0.47     0.07  5831975     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  2.57      0.54     0.07  2374467     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  2.57      0.61     0.07    77107     0.00     0.00  bestChild(Node*)
  2.21      0.67     0.06   524223     0.00     0.00  Level::isEmpty(int, int)
  1.84      0.72     0.05   476844     0.00     0.00  canMoveInDirection(GameState&, int, int, int)
  1.47      0.76     0.04  1832875     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  1.47      0.80     0.04   302709     0.00     0.00  void std::_Construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  1.47      0.84     0.04    12000     0.00     0.00  defaultPolicy(GameState, int)
  1.29      0.88     0.04   345685     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::operator-(long) const
  1.10      0.91     0.03   605430     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  1.10      0.94     0.03   302715     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  1.10      0.96     0.03   182392     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  1.10      0.99     0.03    68810     0.00     0.00  Bomb::getTimeLeft() const
  1.10      1.02     0.03    26496     0.00     0.00  __gnu_cxx::new_allocator<Bomb>::max_size() const
  1.10      1.05     0.03     2042     0.00     0.00  HUD::draw(sf::RenderWindow&, Game&)
  0.74      1.07     0.02  1640893     0.00     0.00  Player::getX() const
  0.74      1.09     0.02   763162     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::base() const
  0.74      1.11     0.02   612004     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.74      1.14     0.02   587437     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::operator[](unsigned long)
  0.74      1.16     0.02   355280     0.00     0.00  std::remove_reference<Action&>::type&& std::move<Action&>(Action&)
  0.74      1.18     0.02   345685     0.00     0.00  std::vector<Action, std::allocator<Action> >::back()
  0.74      1.20     0.02   302715     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.74      1.22     0.02   302715     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.74      1.24     0.02   238422     0.00     0.00  std::vector<Action, std::allocator<Action> >::size() const
  0.74      1.25     0.02   207389     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  0.74      1.27     0.02   128963     0.00     0.00  void std::_Destroy<Action*>(Action*, Action*)
  0.74      1.29     0.02   121622     0.00     0.00  Player::isAlive() const
  0.74      1.31     0.02   119211     0.00     0.00  getPossibleActions(GameState&)
  0.74      1.33     0.02   119211     0.00     0.00  std::vector<Action, std::allocator<Action> >::~vector()
  0.74      1.35     0.02    47379     0.00     0.00  Player::isLegalMove(int, int, GameState&)
  0.74      1.38     0.02    47377     0.00     0.00  Player::move(int, int)
  0.74      1.40     0.02    33636     0.00     0.00  std::pair<int, int>* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, std::pair<int, int>*>(__gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, std::pair<int, int>*)
  0.74      1.42     0.02    33635     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Player>, Player>::_S_select_on_copy(std::allocator<Player> const&)
  0.74      1.44     0.02    33635     0.00     0.00  Player* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*>(__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, __gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*)
  0.74      1.46     0.02    33634     0.00     0.00  Bomb* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb*>(__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, __gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb*)
  0.74      1.48     0.02    30054     0.00     0.00  Bomb::Bomb(Bomb const&)
  0.74      1.50     0.02    22818     0.00     0.00  GameState::~GameState()
  0.74      1.51     0.02    16448     0.00     0.00  Bomb::explode(GameState&)
  0.74      1.53     0.02    16146     0.00     0.00  sf::Sprite::Sprite(sf::Sprite&&)
  0.74      1.55     0.02    13414     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.74      1.57     0.02    12000     0.00     0.00  treePolicy(Node*)
  0.74      1.59     0.02    10816     0.00     0.00  expand(Node*)
  0.55      1.61     0.01  1196636     0.00     0.00  operator new(unsigned long, void*)
  0.55      1.62     0.01   205353     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.37      1.64     0.01   869623     0.00     0.00  Player::getY() const
  0.37      1.65     0.01   672682     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.37      1.66     0.01   672680     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
  0.37      1.67     0.01   605445     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.37      1.68     0.01   508092     0.00     0.00  std::allocator<int>::~allocator()
  0.37      1.69     0.01   495224     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.37      1.70     0.01   384693     0.00     0.00  std::vector<Action, std::allocator<Action> >::end()
  0.37      1.71     0.01   345685     0.00     0.00  void __gnu_cxx::new_allocator<Action>::construct<Action, Action>(Action*, Action&&)
  0.37      1.72     0.01   320376     0.00     0.00  __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > >::operator*() const
  0.37      1.73     0.01   320374     0.00     0.00  __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > >::operator++()
  0.37      1.74     0.01   302850     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.37      1.75     0.01   302805     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.37      1.75     0.01   302760     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.37      1.76     0.01   302760     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.37      1.77     0.01   302715     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&)
  0.37      1.78     0.01   302715     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.37      1.79     0.01   302715     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.37      1.80     0.01   302715     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.37      1.81     0.01   302715     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.37      1.82     0.01   302715     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.37      1.83     0.01   302715     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.37      1.84     0.01   302706     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator++()
  0.37      1.85     0.01   302706     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.37      1.86     0.01   238422     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::_M_deallocate(Action*, unsigned long)
  0.37      1.88     0.01   205377     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.37      1.89     0.01   205377     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.37      1.90     0.01   205377     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.37      1.91     0.01   205377     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.37      1.92     0.01   201812     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
