Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  4.55      0.02     0.02   458237     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  4.55      0.04     0.02   111988     0.00     0.00  Level::isEmpty(int, int)
  4.55      0.06     0.02    75563     0.00     0.00  std::vector<Action, std::allocator<Action> >::push_back(Action&&)
  4.55      0.08     0.02    14268     0.00     0.00  GameState::PlayerCheckBonus(Player&)
  4.55      0.10     0.02     7751     0.00     0.00  Flame::Flame(int, int)
  2.27      0.11     0.01   138018     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_max_size(std::allocator<Action> const&)
  2.27      0.12     0.01   106264     0.00     0.00  canMoveInDirection(GameState&, int, int, int)
  2.27      0.13     0.01    70001     0.00     0.00  bool __gnu_cxx::operator!=<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
  2.27      0.14     0.01    69009     0.00     0.00  void std::vector<Action, std::allocator<Action> >::_M_realloc_insert<Action>(__gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >, Action&&)
  2.27      0.15     0.01    63000     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator++()
  2.27      0.16     0.01    60890     0.00     0.00  sf::Drawable::~Drawable()
  2.27      0.17     0.01    42810     0.00     0.00  sf::Drawable::Drawable(sf::Drawable const&)
  2.27      0.18     0.01    27394     0.00     0.00  std::_Vector_base<Flame, std::allocator<Flame> >::_M_get_Tp_allocator()
  2.27      0.19     0.01    15854     0.00     0.00  Player::isAlive() const
  2.27      0.20     0.01    12338     0.00     0.00  std::allocator<Player>::~allocator()
  2.27      0.21     0.01    12336     0.00     0.00  std::allocator<Bonus>::~allocator()
  2.27      0.22     0.01    11566     0.00     0.00  bestChild(Node*)
  2.27      0.23     0.01    11370     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::begin()
  2.27      0.24     0.01     7751     0.00     0.00  Flame::Flame(Flame&&)
  2.27      0.25     0.01     7751     0.00     0.00  __gnu_cxx::__normal_iterator<Flame*, std::vector<Flame, std::allocator<Flame> > >::operator-(long) const
  2.27      0.26     0.01     7751     0.00     0.00  void std::allocator_traits<std::allocator<Flame> >::construct<Flame, Flame>(std::allocator<Flame>&, Flame*, Flame&&)
  2.27      0.27     0.01     7573     0.00     0.00  bool __gnu_cxx::operator!=<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > >(__gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > > const&, __gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > > const&)
  2.27      0.28     0.01     7552     0.00     0.00  __gnu_cxx::new_allocator<sf::Vertex>::~new_allocator()
  2.27      0.29     0.01     7134     0.00     0.02  GameState::update()
  2.27      0.30     0.01     7001     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Player>, Player>::_S_select_on_copy(std::allocator<Player> const&)
  2.27      0.31     0.01     7000     0.00     0.02  GameState::GameState(GameState const&)
  2.27      0.32     0.01     7000     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_Vector_base(unsigned long, std::allocator<Bomb> const&)
  2.27      0.33     0.01     7000     0.00     0.00  Bonus* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > >, Bonus*>(__gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > >, __gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > >, Bonus*)
  2.27      0.34     0.01     7000     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::vector(std::vector<Bomb, std::allocator<Bomb> > const&)
  2.27      0.35     0.01     6841     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Bomb*>(Bomb*, Bomb*)
  2.27      0.36     0.01     5336     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::~_Vector_base()
  2.27      0.37     0.01     5019     0.00     0.01  void std::vector<Flame, std::allocator<Flame> >::_M_realloc_insert<Flame>(__gnu_cxx::__normal_iterator<Flame*, std::vector<Flame, std::allocator<Flame> > >, Flame&&)
  2.27      0.38     0.01     4887     0.00     0.00  __gnu_cxx::__normal_iterator<Flame const*, std::vector<Flame, std::allocator<Flame> > >::operator++()
  2.27      0.39     0.01     2568     0.00     0.00  Bomb::explode(GameState&)
  2.27      0.40     0.01     2568     0.00     0.00  Bomb::getOwner() const
