Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  3.17      0.02     0.02   101334     0.00     0.00  Player::getY() const
  3.17      0.04     0.02    89112     0.00     0.00  std::vector<Action, std::allocator<Action> >::max_size() const
  3.17      0.06     0.02    32980     0.00     0.00  std::allocator<std::pair<int, int> >::~allocator()
  3.17      0.08     0.02    32564     0.00     0.00  std::allocator<std::pair<int, int> >::allocator(std::allocator<std::pair<int, int> > const&)
  3.17      0.10     0.02    15448     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_Vector_impl::~_Vector_impl()
  3.17      0.12     0.02     9891     0.00     0.00  Player* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*>(__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, __gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*)
  3.17      0.14     0.02     9890     0.00     0.02  GameState::GameState(GameState const&)
  3.17      0.16     0.02     9890     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Bomb>, Bomb>::_S_select_on_copy(std::allocator<Bomb> const&)
  3.17      0.18     0.02     7224     0.00     0.00  Player::play(Action, GameState&)
  3.17      0.20     0.02     3805     0.01     0.03  GameState::update()
  1.59      0.21     0.01   171737     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  1.59      0.22     0.01    49815     0.00     0.00  std::remove_reference<Action&>::type&& std::move<Action&>(Action&)
  1.59      0.23     0.01    44556     0.00     0.00  void std::vector<Action, std::allocator<Action> >::_M_realloc_insert<Action>(__gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >, Action&&)
  1.59      0.24     0.01    42032     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  1.59      0.25     0.01    38340     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Vector_impl_data::_M_copy_data(std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Vector_impl_data const&)
  1.59      0.26     0.01    38125     0.00     0.00  std::_Vector_base<Player, std::allocator<Player> >::_M_get_Tp_allocator()
  1.59      0.27     0.01    32560     0.00     0.00  std::allocator<Bonus>::allocator(std::allocator<Bonus> const&)
  1.59      0.28     0.01    32560     0.00     0.00  std::allocator<Flame>::allocator(std::allocator<Flame> const&)
  1.59      0.29     0.01    31728     0.00     0.00  std::allocator<Bomb>::~allocator()
  1.59      0.30     0.01    31184     0.00     0.00  std::vector<Flame, std::allocator<Flame> >::size() const
  1.59      0.31     0.01    29671     0.00     0.00  bool __gnu_cxx::operator!=<Player const*, std::vector<Player, std::allocator<Player> > >(__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > > const&, __gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > > const&)
  1.59      0.32     0.01    29063     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_Vector_impl_data::_Vector_impl_data()
  1.59      0.33     0.01    19786     0.00     0.00  __gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > >::__normal_iterator(Bonus const* const&)
  1.59      0.34     0.01    19781     0.00     0.00  Player::Player(Player const&)
  1.59      0.35     0.01    19168     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, Action>*, std::vector<std::pair<int, Action>, std::allocator<std::pair<int, Action> > > >::__normal_iterator(std::pair<int, Action>* const&)
  1.59      0.36     0.01    18331     0.00     0.00  std::vector<Bonus, std::allocator<Bonus> >::size() const
  1.59      0.37     0.01    16698     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~_Vector_base()
  1.59      0.38     0.01    16503     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::_Vector_impl::~_Vector_impl()
  1.59      0.39     0.01    16280     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_Vector_impl::_Vector_impl(std::allocator<Bomb> const&)
  1.59      0.40     0.01    15453     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  1.59      0.41     0.01    15450     0.00     0.00  std::_Vector_base<Player, std::allocator<Player> >::_M_deallocate(Player*, unsigned long)
  1.59      0.42     0.01    15448     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  1.59      0.43     0.01    15447     0.00     0.00  std::_Vector_base<Bonus, std::allocator<Bonus> >::~_Vector_base()
  1.59      0.44     0.01     9892     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::pair<int, int> >, std::pair<int, int> >::_S_select_on_copy(std::allocator<std::pair<int, int> > const&)
  1.59      0.45     0.01     9891     0.00     0.01  Player* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*>(__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, __gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*)
  1.59      0.46     0.01     9890     0.00     0.01  std::vector<Bomb, std::allocator<Bomb> >::vector(std::vector<Bomb, std::allocator<Bomb> > const&)
  1.59      0.47     0.01     9890     0.00     0.00  Bomb* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb*>(__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, __gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb*)
  1.59      0.48     0.01     9890     0.00     0.00  Bomb* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb*, Bomb>(__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, __gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb*, std::allocator<Bomb>&)
  1.59      0.49     0.01     8309     0.00     0.00  std::vector<Flame, std::allocator<Flame> >::end()
  1.59      0.50     0.01     7222     0.00     0.03  getNewState(GameState const&, Action, bool)
  1.59      0.51     0.01     6674     0.00     0.00  Flame::Flame(Flame const&)
  1.59      0.52     0.01     6390     0.00     0.02  GameState::operator=(GameState&&)
  1.59      0.53     0.01     6390     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::get_allocator() const
  1.59      0.54     0.01     6390     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_move_assign(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&&, std::integral_constant<bool, true>)
