Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 11.76      0.02     0.02    13528     0.00     0.00  getPossibleActions(GameState&)
 11.76      0.04     0.02     6859     0.00     0.00  Player::Player(Player const&)
  5.88      0.05     0.01   192097     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  5.88      0.06     0.01    74040     0.00     0.00  __gnu_cxx::new_allocator<Action>::max_size() const
  5.88      0.07     0.01    37434     0.00     0.00  __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > >::operator*() const
  5.88      0.08     0.01    17015     0.00     0.00  sf::Sprite::~Sprite()
  5.88      0.09     0.01    14277     0.00     0.00  sf::Sprite::Sprite(sf::Sprite const&)
  5.88      0.10     0.01    11356     0.00     0.00  bestChild(Node*)
  5.88      0.11     0.01    10291     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  5.88      0.12     0.01     9367     0.00     0.00  std::vector<Flame, std::allocator<Flame> >::size() const
  5.88      0.13     0.01     7678     0.00     0.00  std::_Vector_base<Flame, std::allocator<Flame> >::_M_deallocate(Flame*, unsigned long)
  5.88      0.14     0.01     3430     0.00     0.01  Player* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*>(__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, __gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*)
  5.88      0.15     0.01     1919     0.01     0.01  Level::Level(Level&&)
  5.88      0.16     0.01     1000     0.01     0.08  defaultPolicy(GameState, int)
  2.94      0.17     0.01      305     0.02     0.02  Bonus::Bonus(Bonus const&)
  2.94      0.17     0.01      305     0.02     0.03  void std::_Construct<Bonus, Bonus const&>(Bonus*, Bonus const&)
  0.00      0.17     0.00   222120     0.00     0.00  Action* std::__niter_base<Action*>(Action*)
  0.00      0.17     0.00   163911     0.00     0.00  Action&& std::forward<Action>(std::remove_reference<Action>::type&)
  0.00      0.17     0.00   161608     0.00     0.00  std::vector<Action, std::allocator<Action> >::size() const
  0.00      0.17     0.00   159436     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::__normal_iterator(Action* const&)
  0.00      0.17     0.00   159313     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  0.00      0.17     0.00   152489     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::base() const
  0.00      0.17     0.00   144327     0.00     0.00  Player::getX() const
  0.00      0.17     0.00   112304     0.00     0.00  __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > >::base() const
  0.00      0.17     0.00   111060     0.00     0.00  __gnu_cxx::new_allocator<Action>::_M_max_size() const
  0.00      0.17     0.00   101098     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.17     0.00    96950     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::base() const
  0.00      0.17     0.00    87807     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::_M_get_Tp_allocator()
  0.00      0.17     0.00    80773     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.17     0.00    79718     0.00     0.00  std::vector<Action, std::allocator<Action> >::end()
  0.00      0.17     0.00    74040     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::_M_get_Tp_allocator() const
  0.00      0.17     0.00    74040     0.00     0.00  std::vector<Action, std::allocator<Action> >::max_size() const
  0.00      0.17     0.00    74040     0.00     0.00  std::allocator_traits<std::allocator<Action> >::max_size(std::allocator<Action> const&)
  0.00      0.17     0.00    74040     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_max_size(std::allocator<Action> const&)
  0.00      0.17     0.00    74040     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_relocate(Action*, Action*, Action*, std::allocator<Action>&)
  0.00      0.17     0.00    74040     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_do_relocate(Action*, Action*, Action*, std::allocator<Action>&, std::integral_constant<bool, true>)
  0.00      0.17     0.00    74040     0.00     0.00  Action* std::__relocate_a<Action*, Action*, std::allocator<Action> >(Action*, Action*, Action*, std::allocator<Action>&)
  0.00      0.17     0.00    74040     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Action, void>::value, Action*>::type std::__relocate_a_1<Action, Action>(Action*, Action*, Action*, std::allocator<Action>&)
  0.00      0.17     0.00    70556     0.00     0.00  Player::getY() const
  0.00      0.17     0.00    68582     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.17     0.00    59475     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.17     0.00    56148     0.00     0.00  bool __gnu_cxx::operator!=<Player*, std::vector<Player, std::allocator<Player> > >(__gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > > const&, __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > > const&)
