Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  3.06      0.03     0.03    17359     0.00     0.00  bestChild(Node*)
  2.04      0.05     0.02   155489     0.00     0.00  Level::isEmpty(int, int)
  2.04      0.07     0.02   147824     0.00     0.00  canMoveInDirection(GameState&, int, int, int)
  2.04      0.09     0.02    66091     0.00     0.00  sf::Sprite::~Sprite()
  2.04      0.11     0.02    46037     0.00     0.00  std::vector<Player, std::allocator<Player> >::begin()
  2.04      0.13     0.02    45236     0.00     0.00  sf::Sprite::Sprite(sf::Sprite const&)
  2.04      0.15     0.02    23009     0.00     0.00  __gnu_cxx::__normal_iterator<Flame const*, std::vector<Flame, std::allocator<Flame> > >::__normal_iterator(Flame const* const&)
  2.04      0.17     0.02    19158     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_allocate(unsigned long)
  2.04      0.19     0.02    18725     0.00     0.00  void std::_Construct<Player, Player const&>(Player*, Player const&)
  2.04      0.21     0.02    18670     0.00     0.00  Level::isBonus(int, int)
  2.04      0.23     0.02    17564     0.00     0.00  void std::_Construct<Flame, Flame const&>(Flame*, Flame const&)
  2.04      0.25     0.02     9368     0.00     0.00  std::_Vector_base<Player, std::allocator<Player> >::_Vector_impl_data::_Vector_impl_data()
  2.04      0.27     0.02     9362     0.00     0.00  std::vector<Flame, std::allocator<Flame> >::end() const
  2.04      0.29     0.02     9335     0.00     0.02  GameState::update()
  2.04      0.31     0.02     7242     0.00     0.01  GameState::~GameState()
  2.04      0.33     0.02     2602     0.01     0.01  Bomb::Bomb(Bomb&&)
  2.04      0.35     0.02     2015     0.01     0.01  std::vector<Bomb, std::allocator<Bomb> >::_M_check_len(unsigned long, char const*) const
  1.02      0.36     0.01   542003     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  1.02      0.37     0.01   415302     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::base() const
  1.02      0.38     0.01   408226     0.00     0.00  Action&& std::forward<Action>(std::remove_reference<Action>::type&)
  1.02      0.39     0.01   206932     0.00     0.00  std::vector<Action, std::allocator<Action> >::end()
  1.02      0.40     0.01   115556     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  1.02      0.41     0.01    95749     0.00     0.00  std::vector<Action, std::allocator<Action> >::_M_check_len(unsigned long, char const*) const
  1.02      0.42     0.01    95749     0.00     0.00  void std::vector<Action, std::allocator<Action> >::_M_realloc_insert<Action>(__gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >, Action&&)
  1.02      0.43     0.01    84258     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator++()
  1.02      0.44     0.01    59498     0.00     0.00  __gnu_cxx::__normal_iterator<Flame*, std::vector<Flame, std::allocator<Flame> > >::__normal_iterator(Flame* const&)
  1.02      0.45     0.01    42977     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
