Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.29      0.01     0.01    56050     0.00     0.00  Player::getY() const
 14.29      0.02     0.01    11339     0.00     0.00  Bomb::getX() const
 14.29      0.03     0.01     3868     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Player*>(Player*, Player*)
 14.29      0.04     0.01     3866     0.00     0.00  std::_Vector_base<Player, std::allocator<Player> >::_Vector_impl::~_Vector_impl()
 14.29      0.05     0.01     3865     0.00     0.00  std::_Vector_base<Flame, std::allocator<Flame> >::_Vector_impl::~_Vector_impl()
 14.29      0.06     0.01     2175     0.00     0.00  std::_Vector_base<Player, std::allocator<Player> >::_M_create_storage(unsigned long)
 14.29      0.07     0.01      497     0.02     0.02  Level::draw(sf::RenderWindow&, int)
  0.00      0.07     0.00   189136     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  0.00      0.07     0.00   151734     0.00     0.00  Action* std::__niter_base<Action*>(Action*)
  0.00      0.07     0.00   141027     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  0.00      0.07     0.00   110765     0.00     0.00  std::vector<Action, std::allocator<Action> >::size() const
  0.00      0.07     0.00   109984     0.00     0.00  Action&& std::forward<Action>(std::remove_reference<Action>::type&)
  0.00      0.07     0.00   107190     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::__normal_iterator(Action* const&)
  0.00      0.07     0.00   102799     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::base() const
  0.00      0.07     0.00   100639     0.00     0.00  Player::getX() const
  0.00      0.07     0.00    75867     0.00     0.00  __gnu_cxx::new_allocator<Action>::_M_max_size() const
  0.00      0.07     0.00    73886     0.00     0.00  __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > >::base() const
  0.00      0.07     0.00    68404     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::base() const
  0.00      0.07     0.00    66232     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.07     0.00    60276     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::_M_get_Tp_allocator()
  0.00      0.07     0.00    54061     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.07     0.00    53595     0.00     0.00  std::vector<Action, std::allocator<Action> >::end()
  0.00      0.07     0.00    50578     0.00     0.00  __gnu_cxx::new_allocator<Action>::max_size() const
  0.00      0.07     0.00    50578     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::_M_get_Tp_allocator() const
  0.00      0.07     0.00    50578     0.00     0.00  std::vector<Action, std::allocator<Action> >::max_size() const
  0.00      0.07     0.00    50578     0.00     0.00  std::allocator_traits<std::allocator<Action> >::max_size(std::allocator<Action> const&)
  0.00      0.07     0.00    50578     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_max_size(std::allocator<Action> const&)
  0.00      0.07     0.00    50578     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_relocate(Action*, Action*, Action*, std::allocator<Action>&)
  0.00      0.07     0.00    50578     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_do_relocate(Action*, Action*, Action*, std::allocator<Action>&, std::integral_constant<bool, true>)
  0.00      0.07     0.00    50578     0.00     0.00  Action* std::__relocate_a<Action*, Action*, std::allocator<Action> >(Action*, Action*, Action*, std::allocator<Action>&)
  0.00      0.07     0.00    50578     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Action, void>::value, Action*>::type std::__relocate_a_1<Action, Action>(Action*, Action*, Action*, std::allocator<Action>&)
