Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  2.44      0.39     0.01     1000     0.01     0.01  void std::_Destroy<std::pair<int, Action>*, std::pair<int, Action> >(std::pair<int, Action>*, std::pair<int, Action>*, std::allocator<std::pair<int, Action> >&)
  2.44      0.40     0.01        1    10.00   386.10  MCTS::findBestAction(GameState const&)
  1.22      0.41     0.01    46723     0.00     0.00  __gnu_cxx::new_allocator<Player>::new_allocator(__gnu_cxx::new_allocator<Player> const&)
  1.22      0.41     0.01    34636     0.00     0.00  bool __gnu_cxx::operator!=<Player const*, std::vector<Player, std::allocator<Player> > >(__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > > const&, __gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > > const&)
  0.00      0.41     0.00   418324     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  0.00      0.41     0.00   244526     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.41     0.00   232086     0.00     0.00  Action* std::__niter_base<Action*>(Action*)
  0.00      0.41     0.00   230902     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.41     0.00   198849     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.41     0.00   176307     0.00     0.00  Action&& std::forward<Action>(std::remove_reference<Action>::type&)
  0.00      0.41     0.00   170732     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::__normal_iterator(Action* const&)
  0.00      0.41     0.00   170027     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::base() const
  0.00      0.41     0.00   169268     0.00     0.00  std::vector<Action, std::allocator<Action> >::size() const
  0.00      0.41     0.00   116072     0.00     0.00  __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > >::base() const
  0.00      0.41     0.00   116043     0.00     0.00  __gnu_cxx::new_allocator<Action>::_M_max_size() const
  0.00      0.41     0.00   115451     0.00     0.00  bool __gnu_cxx::operator!=<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
  0.00      0.41     0.00   105697     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.41     0.00   103931     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>::type&)
  0.00      0.41     0.00   103908     0.00     0.00  void std::_Construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.41     0.00   103905     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator++()
  0.00      0.41     0.00   103905     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator*() const
  0.00      0.41     0.00    94896     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.41     0.00    92737     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::_M_get_Tp_allocator()
  0.00      0.41     0.00    85366     0.00     0.00  std::vector<Action, std::allocator<Action> >::end()
  0.00      0.41     0.00    77362     0.00     0.00  __gnu_cxx::new_allocator<Action>::max_size() const
  0.00      0.41     0.00    77362     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::_M_get_Tp_allocator() const
  0.00      0.41     0.00    77362     0.00     0.00  std::vector<Action, std::allocator<Action> >::max_size() const
  0.00      0.41     0.00    77362     0.00     0.00  std::allocator_traits<std::allocator<Action> >::max_size(std::allocator<Action> const&)
  0.00      0.41     0.00    77362     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_max_size(std::allocator<Action> const&)
  0.00      0.41     0.00    77362     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_do_relocate(Action*, Action*, Action*, std::allocator<Action>&, std::integral_constant<bool, true>)
  0.00      0.41     0.00    77362     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Action, void>::value, Action*>::type std::__relocate_a_1<Action, Action>(Action*, Action*, Action*, std::allocator<Action>&)
  0.00      0.41     0.00    69278     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
