Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  4.65      0.02     0.02    45786     0.00     0.00  sf::Sprite::Sprite(sf::Sprite const&)
  4.65      0.04     0.02    30449     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_Vector_impl::~_Vector_impl()
  4.65      0.06     0.02    20532     0.00     0.00  Player::getNumBombs() const
  4.65      0.08     0.02    17924     0.00     0.00  getPossibleActions(GameState&)
  2.33      0.09     0.01   470875     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  2.33      0.10     0.01   127911     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  2.33      0.11     0.01    97546     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_max_size(std::allocator<Action> const&)
  2.33      0.12     0.01    60911     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator()
  2.33      0.13     0.01    53081     0.00     0.00  std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocator(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  2.33      0.14     0.01    53079     0.00     0.00  std::allocator<Player>::allocator(std::allocator<Player> const&)
  2.33      0.15     0.01    52079     0.00     0.00  std::allocator<Bonus>::~allocator()
  2.33      0.16     0.01    51341     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::difference_type __gnu_cxx::operator-<Action*, std::vector<Action, std::allocator<Action> > >(__gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > > const&, __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > > const&)
  2.33      0.17     0.01    30449     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  2.33      0.18     0.01    30448     0.00     0.00  std::_Vector_base<Bonus, std::allocator<Bonus> >::~_Vector_base()
  2.33      0.19     0.01    20720     0.00     0.00  std::vector<Player, std::allocator<Player> >::size() const
  2.33      0.20     0.01    19629     0.00     0.00  __gnu_cxx::__normal_iterator<Flame*, std::vector<Flame, std::allocator<Flame> > >::base() const
  2.33      0.21     0.01    14926     0.00     0.00  bool __gnu_cxx::operator!=<Flame const*, std::vector<Flame, std::allocator<Flame> > >(__gnu_cxx::__normal_iterator<Flame const*, std::vector<Flame, std::allocator<Flame> > > const&, __gnu_cxx::__normal_iterator<Flame const*, std::vector<Flame, std::allocator<Flame> > > const&)
  2.33      0.22     0.01    12814     0.00     0.00  std::allocator_traits<std::allocator<Player> >::select_on_container_copy_construction(std::allocator<Player> const&)
  2.33      0.23     0.01    12813     0.00     0.01  GameState::GameState(GameState const&)
  2.33      0.24     0.01    12813     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_Vector_base(unsigned long, std::allocator<Bomb> const&)
